GeneID	HHCCZ	HHCCW	HHCCX	HHCCY	HHCGA	HHCGB	HHCGG	HHCGH	HHCGN	HHCGO	HHCGP	HHCGT	HHCGU	HHCGW	HHCGX	HHCGY	HHCGC	HHCGS
jgi.p|Neosp1|498886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498890	3	21	11	9	22	27	4	21	9	15	22	33	16	33	27	8	8	2
jgi.p|Neosp1|498893	44	7	0	4	14	11	16	195	83	30	121	9	2	3	2	0	2	1
jgi.p|Neosp1|498894	6	1	0	1	14	10	33	93	34	73	36	6	5	2	5	0	0	1
jgi.p|Neosp1|498898	0	0	0	0	2	3	3	9	4	8	3	0	1	0	0	0	1	2
jgi.p|Neosp1|498899	24	9	6	3	96	124	73	207	77	138	100	20	17	59	57	3	11	6
jgi.p|Neosp1|498916	14023	15978	12586	17147	32163	37569	15535	51767	18675	33837	31330	7984	22030	34534	33156	12260	11774	4392
jgi.p|Neosp1|498917	0	0	1	0	1	0	5	17	2	10	12	1	30	25	6	4	0	1
jgi.p|Neosp1|498921	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498925	3	0	0	0	0	1	0	1	2	1	0	2	3	1	2	1	7	13
jgi.p|Neosp1|498929	22	37	23	40	40	51	13	40	11	33	25	20	30	38	35	18	12	8
jgi.p|Neosp1|498934	9	19	12	11	13	43	6	21	2	17	12	24	25	32	37	12	2	0
jgi.p|Neosp1|498949	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|498957	0	0	0	0	0	0	0	2	0	2	2	2	5	1	1	1	0	0
jgi.p|Neosp1|498958	90	162	145	205	271	363	98	342	158	232	169	60	142	229	290	156	57	23
jgi.p|Neosp1|498961	601	683	326	513	954	1422	379	1193	544	813	856	406	925	1024	927	503	1935	2400
jgi.p|Neosp1|498968	40	1	2	4	48	123	21	82	33	47	61	18	20	35	59	10	31	18
jgi.p|Neosp1|498973	33	1	0	2	4	0	8	31	9	23	18	0	1	1	1	0	35	99
jgi.p|Neosp1|498974	5	9	1	6	1	3	0	15	10	5	10	4	43	10	8	9	12	55
jgi.p|Neosp1|498975	33	46	15	30	13	22	14	65	30	48	33	41	169	83	26	11	56	157
jgi.p|Neosp1|498979	117	271	249	245	514	806	362	1229	420	785	759	345	556	778	920	348	408	513
jgi.p|Neosp1|498987	70	125	84	150	86	106	51	230	77	106	144	191	111	165	173	41	289	293
jgi.p|Neosp1|498991	143	343	226	310	348	415	85	293	83	218	183	220	137	289	292	120	233	320
jgi.p|Neosp1|498992	197	403	276	358	475	792	292	979	429	657	607	264	780	753	585	382	88	32
jgi.p|Neosp1|498993	7	47	17	44	19	53	62	230	118	130	183	55	299	160	135	74	4	3
jgi.p|Neosp1|498996	0	0	1	0	0	2	1	2	5	7	5	2	16	4	12	0	0	0
jgi.p|Neosp1|498997	0	0	0	1	0	0	0	3	4	7	0	0	26	8	5	0	0	2
jgi.p|Neosp1|498998	0	1	0	2	0	0	5	13	1	10	3	3	13	10	1	0	0	1
jgi.p|Neosp1|499007	272	1295	682	1259	946	1479	500	2032	815	1155	1119	659	1259	1283	1356	781	468	926
jgi.p|Neosp1|499010	37	102	85	144	114	158	41	156	65	128	118	102	69	117	109	46	25	15
jgi.p|Neosp1|499013	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
jgi.p|Neosp1|499023	26	46	27	29	34	58	17	31	14	44	34	26	25	46	39	20	13	5
jgi.p|Neosp1|499025	7	4	3	11	1	0	7	29	14	35	22	2	50	32	16	2	6	8
jgi.p|Neosp1|499029	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499031	1	1	0	7	10	12	2	16	4	3	5	20	3	6	8	5	0	1
jgi.p|Neosp1|499033	0	0	1	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0
jgi.p|Neosp1|499036	0	4	0	4	2	2	12	19	3	24	10	3	54	20	10	11	0	0
jgi.p|Neosp1|499044	1	3	2	1	5	4	1	3	2	0	1	1	4	6	5	2	0	3
jgi.p|Neosp1|499045	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499047	254	501	288	436	435	697	166	723	253	336	437	177	704	542	428	376	609	344
jgi.p|Neosp1|499056	0	0	1	1	0	0	1	4	0	3	0	0	6	2	3	0	0	0
jgi.p|Neosp1|499061	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499078	222	585	331	495	438	633	170	589	206	339	318	275	640	465	522	487	355	427
jgi.p|Neosp1|499088	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499095	44	216	166	259	570	802	173	668	202	333	447	126	372	496	533	212	57	20
jgi.p|Neosp1|499107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jgi.p|Neosp1|499136	237	1477	816	1458	1006	1353	505	1663	626	1033	864	533	871	1069	1118	867	93	45
jgi.p|Neosp1|499137	41	238	133	181	140	147	49	190	68	110	91	89	103	120	102	113	10	4
jgi.p|Neosp1|499138	55	123	84	141	142	145	76	242	84	141	157	300	102	149	143	82	28	24
jgi.p|Neosp1|499142	52	14	5	22	34	39	11	50	13	31	25	15	13	12	9	8	137	256
jgi.p|Neosp1|499160	1	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0
jgi.p|Neosp1|499161	167	328	184	355	325	349	130	417	191	248	244	238	166	284	348	154	106	48
jgi.p|Neosp1|499167	104	130	59	125	122	203	34	172	50	124	107	58	107	145	145	73	142	228
jgi.p|Neosp1|499206	0	46	16	28	1	0	0	5	2	1	1	20	0	5	0	5	4	3
jgi.p|Neosp1|499213	1	0	0	0	0	0	2	1	0	1	0	0	4	0	1	0	0	2
jgi.p|Neosp1|499216	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2	0	0	4
jgi.p|Neosp1|499217	17	53	50	51	97	144	31	79	39	75	73	14	54	90	90	94	18	19
jgi.p|Neosp1|499227	10	46	29	42	29	63	17	57	23	39	42	24	38	56	42	28	20	6
jgi.p|Neosp1|499243	2074	1984	891	1392	801	1391	684	1609	610	1146	1041	492	1122	1188	696	563	2427	1785
